#Compound	Isotopolog	mass	Tolerance [mmu]	z
Ala_imm	M0	44.0493	1	1
Ala_imm	15N	45.0463	1	1
Ala_imm	13C	45.0526	1	1
Ala_imm	2H	45.0556	1	1
Arg_imm	M0	70.0649	1	1
Arg_imm	15N	71.062	1	1
Arg_imm	13C	71.0683	1	1
Arg_imm	2H	71.0712	1	1
Met_imm	M0	104.0526	1	1
Met_imm	15N	105.0496	1	1
Met_imm	33S	105.052	1	1
Met_imm	13C	105.0559	1	1
Met_imm	2H	105.0588	1	1
Met_imm	34S	106.0484	1	1
Phe_imm	M0	120.0804	1	1
Phe_imm	15N	121.0775	1	1
Phe_imm	13C	121.0838	1	1
Phe_imm	2H	121.0865	1	1
